PLOT_NO;TREE_R;TREE_CMP;ALTITUDE;EASTNESS;NORTHNESS;SLOPE;CURV_PR;CURV_PL
J27;2;C. eyrei_C. myrsinaefolia;170.94;0.999999863;0.000523626;31.78;-22.1759;41.5198
J28;1;L. formosana;165.46;0.698165448;-0.715936455;27.74;-41.0128;58.782
J29;1;L. formosana;155.16;0.62387963;-0.781520446;27.77;-12.6537;22.8113
J3;16;C. henryi_C. carlesii_C. eyrei_C. sclerophylla_Ch. axillaris_C. camphora_C. glauca_C. myrsinaefolia_D. oldhamii_D. glaucifolia_L. glaber_N. sinensis_Q. acutissima_Q. fabri_Q. serrata_S. superba;268.35;-0.307356562;-0.951594422;34.64;-33.5917;-33.8793
J4;16;A. davidii_C. henryi_C. carlesii_C. sclerophylla_C. camphora_C. glauca_C. myrsinaefolia_D. oldhamii_D. glaucifolia_L. glaber_N. sinensis_Q. acutissima_Q. fabri_Q. serrata_S. discolor_S. superba;251.37;-0.47270452;-0.881220992;37.58;50.0125;-66.4513
J5;2;C. carlesii_L. glaber;240.16;-0.652362953;-0.757906708;22.33;59.4577;-104.443
J6;4;C. glauca_L. glaber_Q. serrata_S. superba;234.27;-0.288363335;-0.957521063;20.17;42.6259;8.07632
J7;4;C. eyrei_C. camphora_C. myrsinaefolia_K. bipinnata;222.29;-0.125506333;-0.992092818;28.36;56.6743;-14.3452
K10;4;A. davidii_C. henryi_Q. acutissima_R. chinensis;194.62;-0.623197303;-0.782064653;35;-23.7722;-11.2268
K18;2;Ch. axillaris_D. glaucifolia;177.45;-0.767836515;0.640645836;29.8;-21.8297;2.36562
K19;1;S. superba;186.66;-0.892664538;0.450721669;32.34;10.5007;25.1042
K20;1;S. superba;191.03;-0.995141872;0.098451281;33.47;-28.3806;37.6831
K21;2;K. bipinnata_L. glaber;190.16;-0.969187914;-0.246322526;31.2;-20.1964;14.6537
K22;2;K. bipinnata_L. glaber;182.68;-0.77988444;-0.625923526;34.77;-25.0057;20.42
K23;1;D. glaucifolia;169.14;-0.722967099;-0.69088246;40.63;-77.7643;47.8329
K24;0;;154.83;-0.827668694;-0.561217011;30.18;13.8608;-18.0574
K24;0;;154.83;-0.827668694;-0.561217011;30.18;13.8608;-18.0574
K24;0;;154.83;-0.827668694;-0.561217011;30.18;13.8608;-18.0574
K24;0;;154.83;-0.827668694;-0.561217011;30.18;13.8608;-18.0574
K3;2;C. glauca_Q. fabri;277.59;-0.578427203;-0.815734008;31.21;10.9092;-33.5241
K4;4;C. carlesii_C. eyrei_L. glaber_S. superba;266.14;-0.818049307;-0.575148095;34.35;15.5225;-37.3636
K5;1;C. lanceolata;256.37;-0.8594956;-0.511143145;37.34;-98.6409;32.5146
K6;2;L. glaber_S. superba;245.52;-0.781846985;-0.623470362;37.96;-48.4301;16.25
K7;4;C. eyrei_C. glauca_Q. serrata_S. superba;232.61;-0.774944445;-0.632029356;37.43;-55.2902;33.4209
K9;1;C. glauca;207.38;-0.745708573;-0.66627226;36.05;4.51387;34.542
L10;1;C. eyrei;205.07;-0.397788452;-0.917477165;33.96;3.80465;32.8404
L11;1;C. sclerophylla;187.41;-0.426884373;-0.904306216;30.85;6.50834;-42.3499
L12;1;C. sclerophylla;178.29;-0.923612116;-0.383328397;30.4;40.5413;-56.1369
L13;1;A. davidii;173.86;-0.943916241;-0.330184994;33.37;11.1738;19.1854
L17;8;C. carlesii_Ch. axillaris_D. oldhamii_D. glaucifolia_L. formosana_L. glaber_Q. serrata_S. superba;173.75;-0.40450331;0.914536534;29.61;-121.219;115.771
L18;4;C. sclerophylla_C. myrsinaefolia_L. glaber_S. superba;186.52;-0.595804516;0.80312949;27.24;0.83411;-13.3277
L19;0;;197.85;-0.701407103;0.712760883;26.87;-17.0074;27.5635
L20;0;;203.08;-0.964787304;-0.263031288;16.68;-64.9697;27.1997
L21;16;C. henryi_C. eyrei_C. sclerophylla_Ch. axillaris_C. glauca_C. myrsinaefolia_K. bipinnata_L. formosana_L. glaber_N. sinensis_Q. fabri_Q. serrata_R. chinensis_S. mukorossi_S. sebiferum_S. superba;198.51;-0.041003685;-0.999158995;21.29;-106.126;18.7071
L22;16;C. henryi_C. eyrei_C. sclerophylla_Ch. axillaris_C. glauca_C. myrsinaefolia_K. bipinnata_L. formosana_L. glaber_N. sinensis_Q. fabri_Q. serrata_R. chinensis_S. mukorossi_S. sebiferum_S. superba;189.38;0.249535088;-0.968365757;23.68;-120.972;65.073
L23;1;Ch. axillaris;178.36;-0.013438577;-0.999909698;27.77;-96.1074;44.8151
L24;4;C. eyrei_C. glauca_Q. serrata_S. superba;165.17;-0.07271594;-0.997352692;30.36;-103.508;114.873
L25;0;;152.07;-0.128449375;-0.991716067;18.28;78.8037;57.4042
L25;0;;152.07;-0.128449375;-0.991716067;18.28;78.8037;57.4042
L25;0;;152.07;-0.128449375;-0.991716067;18.28;78.8037;57.4042
L25;0;;152.07;-0.128449375;-0.991716067;18.28;78.8037;57.4042
L4;0;;276.16;-0.136234253;-0.990676652;20.08;-64.8177;124.813
L5;0;;269.06;-0.159881132;-0.987136274;19.58;21.2788;71.622
L6;16;A. davidii_C. carlesii_C. eyrei_C. camphora_C. myrsinaefolia_D. oldhamii_D. glaucifolia_K. bipinnata_L. glaber_M. azedarach_N. sinensis_Q. acutissima_Q. fabri_S. mukorossi_S. discolor_S. superba;260.58;-0.390409732;-0.920641212;28.35;-32.3595;87.16
L7;1;Q. acutissima;246.81;-0.641985007;-0.766717191;31.52;-23.1036;18.8172
L8;2;C. camphora_C. myrsinaefolia;234.19;-0.605710639;-0.795685001;34.54;4.79085;10.8983
L9;1;C. eyrei;220.05;-0.565542851;-0.824718912;35.61;-17.2969;15.9785
M10;1;C. eyrei;213.18;-0.555425053;-0.8315666;37.06;-41.1841;-23.5627
M11;1;C. sclerophylla;200.03;-0.909961241;-0.414693309;34.3;-5.40798;-43.9791
M12;1;C. sclerophylla;197.06;-0.928096395;-0.372340008;26.82;-39.7478;58.0623
M13;1;S. sebiferum;191.72;-0.475931181;-0.879482525;25.9;-28.4898;67.8463
M14;1;S. sebiferum;179.61;-0.1528133;-0.988255076;33.18;-70.5797;48.9911
M17;2;S. discolor_S. sebiferum;176.81;-0.077937046;-0.996958282;32.15;32.2689;-104.376
M18;0;free succession;191.15;-0.91892898;0.394423034;27.14;-18.4159;-68.4131
M19;0;;204.82;-0.732186437;0.681104266;18.36;-62.8877;44.8777
M20;0;;201.98;0.087329662;-0.996179467;28.47;-102.719;-70.6779
M21;16;C. henryi_C. eyrei_C. sclerophylla_Ch. axillaris_C. glauca_C. myrsinaefolia_K. bipinnata_L. formosana_L. glaber_N. sinensis_Q. fabri_Q. serrata_R. chinensis_S. mukorossi_S. sebiferum_S. superba;187.04;0.538329641;-0.842734358;35.74;77.938;-174.833
M22;16;C. henryi_C. eyrei_C. sclerophylla_Ch. axillaris_C. glauca_C. myrsinaefolia_K. bipinnata_L. formosana_L. glaber_N. sinensis_Q. fabri_Q. serrata_R. chinensis_S. mukorossi_S. sebiferum_S. superba;176.2;0.880394613;-0.474241843;33.79;137.635;-49.0422
M23;0;;168.54;0.839240473;-0.543760452;31.27;116.684;-31.408
M23;0;;168.54;0.839240473;-0.543760452;31.27;116.684;-31.408
M23;0;;168.54;0.839240473;-0.543760452;31.27;116.684;-31.408
M23;0;;168.54;0.839240473;-0.543760452;31.27;116.684;-31.408
M24;0;;159.28;0.45336839;-0.891323232;25.04;113.903;-32.5482
M24;0;;159.28;0.45336839;-0.891323232;25.04;113.903;-32.5482
M24;0;;159.28;0.45336839;-0.891323232;25.04;113.903;-32.5482
M24;0;;159.28;0.45336839;-0.891323232;25.04;113.903;-32.5482
M26;16;A. davidii_C. henryi_C. carlesii_C. sclerophylla_Ch. axillaris_C. camphora_C. glauca_D. oldhamii_D. glaucifolia_L. formosana_M. azedarach_Q. acutissima_Q. serrata_R. chinensis_S. discolor_S. sebiferum;153.87;-0.986543628;-0.163498226;21.06;10.4891;35.0186
M27;1;S. discolor;152.22;-0.999402946;-0.034550721;18.38;-8.07957;-18.1193
M28;8;C. carlesii_C. eyrei_C. sclerophylla_C. glauca_C. myrsinaefolia_L. glaber_Q. acutissima_S. superba;154.05;-0.997403216;0.072019612;19.1;-20.2065;10.0701
M4;0;;271.04;0.703890792;-0.71030821;29.98;-3.73222;-41.2558
M5;0;;262.77;0.900849849;-0.434130797;30.01;-53.5805;14.9136
M6;2;Q. acutissima_S. mukorossi;257.88;0.862336996;-0.506334776;25.64;-18.9511;24.0092
M7;4;C. glauca_Q. fabri_R. chinensis_S. superba;249.4;0.50045342;-0.865763463;24.89;-60.0194;44.9092
M8;4;C. glauca_Q. fabri_R. chinensis_S. superba;239.93;0.151605911;-0.988441019;24.42;-14.6514;47.6945
M9;1;C. eyrei;228.46;-0.309514868;-0.950894603;30.37;-30.226;50.6938
N10;24;all 24 species;220.26;0.406098811;-0.913829172;25.35;-71.8576;68.159
N11;1;S. mukorossi;209.69;0.148499889;-0.988912424;24.76;-61.9374;74.5577
N12;1;S. mukorossi;199.67;0.425463463;-0.904975603;27.34;-35.165;66.4065
N13;1;S. sebiferum;187.8;0.652363034;-0.757906638;33.29;-29.0359;-23.1785
N14;1;S. sebiferum;175.73;0.574576826;-0.818450653;29.91;29.8836;26.7331
N17;1;R. chinensis;180.57;-0.492119804;0.870527483;32.25;-64.7234;53.2401
N18;1;R. chinensis;194.28;-0.421669037;0.906749813;29.22;-26.3208;-27.4686
N19;1;M. azedarach;206.77;-0.45756365;0.88917687;17.35;50.479;-62.8112
N20;4;C. sclerophylla_Ch. axillaris_Q. serrata_S. sebiferum;205.77;-0.597765022;-0.801671365;27.86;-77.4738;25.3079
N21;1;C. myrsinaefolia;189.4;-0.502869041;-0.864362614;39.36;-67.6465;48.5811
N22;1;C. myrsinaefolia;172.42;-0.510993012;-0.859584866;29.29;49.7598;-3.81311
N25;8;C. carlesii_Ch. axillaris_C. glauca_D. oldhamii_D. glaucifolia_Q. serrata_S. discolor_S. sebiferum;166.25;-0.9933527;0.115110443;30.49;-55.4201;67.5439
N26;1;C. lanceolata;163.79;-0.844140797;-0.536121548;22.65;20.1135;-9.88707
N27;1;Ch. axillaris;160.93;-0.999941454;0.01082075;17.88;5.82565;-20.7575
N28;1;Ch. axillaris;162.98;-0.999999452;0.001047117;18.76;15.2057;11.4306
N29;1;C. eyrei;159.66;-0.824323812;-0.566118586;22.65;-6.02236;-4.40383
N5;0;free plot;244.1;0.846657886;-0.5321376;37.67;113.62;-130.044
N6;16;C. henryi_C. carlesii_C. eyrei_C. sclerophylla_Ch. axillaris_C. camphora_C. glauca_C. myrsinaefolia_D. oldhamii_D. glaucifolia_L. glaber_N. sinensis_Q. acutissima_Q. fabri_Q. serrata_S. superba;239.22;0.98129267;-0.192521937;38.27;53.8372;-25.9318
N7;4;C. glauca_Q. fabri_R. chinensis_S. superba;233.27;0.983759976;-0.179489023;40.48;9.87769;4.53915
N8;4;C. glauca_Q. fabri_R. chinensis_S. superba;229.37;0.987742891;-0.156089658;35.87;-61.6903;-11.5562
N9;24;all 24 species;226.22;0.889655603;-0.456632136;28.03;-72.3721;35.7839
O10;24;all 24 species;205.63;0.98149374;-0.191494224;39.89;51.0789;9.69327
O11;1;S. mukorossi;198.19;0.898640986;-0.438684827;37.18;20.9076;29.6597
O12;1;S. mukorossi;188.35;0.775716104;-0.631082028;35.84;51.571;-34.5357
O17;1;R. chinensis;186.16;0.088198959;-0.996102878;31.07;-47.8144;52.9003
O18;1;R. chinensis;200.75;-0.80437569;0.59412099;30.1;-17.6108;53.9129
O19;8;C. henryi_C. camphora_C. glauca_C. myrsinaefolia_D. oldhamii_N. sinensis_Q. acutissima_S. superba;212.42;-0.791650323;0.610974441;26.1;1.78276;13.2153
O20;2;C. glauca_L. glaber;213.78;-0.796635386;-0.60446014;27.13;-36.0417;56.3982
O21;1;C. myrsinaefolia;199.53;-0.436644724;-0.899634028;37.22;-16.1129;13.8477
O22;1;C. myrsinaefolia;182.17;-0.593137838;-0.805100929;31.54;32.4704;-18.613
O23;1;P. massoniana;175.49;-0.99614892;-0.087677416;29.49;8.46438;0.14015
O24;2;C. carlesii_C. glauca;178.25;-0.962738984;0.270432339;33.75;-13.5039;-57.8004
O25;2;C. sclerophylla_Q. serrata;180.76;-0.963115596;-0.269087993;28.4;-13.9262;58.7677
O26;2;C. sclerophylla_Q. serrata;173.85;-0.858244077;-0.513241761;27.45;0.40073;-18.8083
O27;1;Ch. axillaris;170.96;-0.997132552;0.075674794;25.17;30.8807;-53.0045
O28;1;Ch. axillaris;173.19;-0.988756369;-0.14953542;23.69;-9.24207;43.3277
O29;2;D. oldhamii_Q. fabri;169.02;-0.810757384;-0.585382323;21.11;-7.75632;21.7843
O5;0;free plot;236.36;-0.305529066;-0.95218275;28.24;-50.2651;45.2988
O6;2;C. sclerophylla_Q. serrata;225.36;0.223420289;-0.974722204;28.04;17.1045;-44.7217
O9;24;all 24 species;208.05;0.997624546;-0.068885881;39.92;93.0773;6.65504
P18;4;C. eyrei_C. sclerophylla_C. glauca_L. glaber;203.02;0.238702997;-0.971092621;37.56;-81.6722;39.708
P19;4;C. henryi_L. formosana_N. sinensis_S. mukorossi;221.18;-0.604460162;0.79663537;26.12;37.5788;43.6926
P20;4;C. henryi_L. formosana_N. sinensis_S. mukorossi;223.31;-0.734440925;-0.678672621;27.32;-39.2572;78.49
P21;2;C. glauca_Q. fabri;208.17;-0.476545059;-0.879150048;38.28;-1.95848;-81.2507
P22;2;C. glauca_Q. fabri;194.13;-0.887171927;-0.461439024;34.26;18.2787;-55.468
P23;2;R. chinensis_S. superba;191.62;-0.999473122;0.032457342;31.19;-1.25665;-14.0038
P24;2;R. chinensis_S. superba;194.62;-0.983223102;0.182407051;30.91;2.65724;-31.7029
P25;2;C. sclerophylla_Q. serrata;194.06;-0.897950746;-0.440095964;25.75;-10.146;41.3647
P26;2;C. sclerophylla_Q. serrata;187.93;-0.915451979;-0.402427229;26.65;-28.8523;-0.17251
P27;8;C. eyrei_C. glauca_C. myrsinaefolia_K. bipinnata_L. glaber_Q. fabri_R. chinensis_S. superba;184.53;-0.977045558;-0.213030461;22.42;-46.7865;-1.33785
P28;8;C. carlesii_C. eyrei_C. sclerophylla_Ch. axillaris_C. camphora_D. oldhamii_L. formosana_L. glaber;181.66;-0.401787902;-0.915732757;16.82;-20.7465;67.7467
P29;4;C. henryi_L. formosana_N. sinensis_S. mukorossi;174.42;-0.146082973;-0.989272341;15.12;-0.4415;12.5656
P30;4;C. sclerophylla_C. myrsinaefolia_L. glaber_S. superba;168.35;-0.229709964;-0.973259129;12.03;1.90357;-12.8868
P6;0;free succession;230.88;-0.596925187;-0.802296904;37.45;-33.5824;-34.8059
